FOLIO INSTITUCIONAL,MÓDULO,FOLIO DE MÓDULO,SEMANA,ESTACIÓN,LÍNEA,FECHA,DÍA,MES,HORA DE AGRESIÓN,HORA DE ATENCIÓN,HORA DE CIERRE DE ATENCIÓN,DESCRIPCIÓN,MODO DE ACCIÓN,DELITO,LUGAR DE LOS HECHOS,SEXO,EDAD,OCUPACIÓN ESPECÍFICA,OCUPACIÓN GENERAL,ESCOLARIDAD DE LA VICTIMA,DELEGACIÓN O MUNICIPIO,ESTADO,SEXO AGRESOR,EDAD  AGRESOR,OCUPACIÓN ESPECÍFICA 2,OCUPACIÓN GENERAL 2,ESCOLARIDAD,DELEGACIÓN O MUNICIPIO 2,ESTADO2,SIN DETENIDO,OBSERVACIONES,OBSTÁCULOS DE COLABORACIÒN,AUTORIDAD,CORPORACION REMITENTE
2059,HIDALGO,H-033,DEL 12 AL 16 DE MAYO DE 2014,SAN JUAN DE LETRÁN ,8,14 DE MAYO DE 2014,MIÉRCOLES,MAYO,08:10,09:00,16:40,FRICCIÓN DE PENE EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,24,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,25,ELECTRICISTA,OFICIO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2060,BALDERAS,B-035,DEL 12 AL 16 DE MAYO DE 2014,LA RAZA,3,14 DE MAYO DE 2014,MIÉRCOLES,MAYO,09:05,09:14,16:12,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,INTERIOR DE VAGÓN,MUJER,22,EMPLEADA,EMPLEADA,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,41,EMPLEADA,EMPLEADA,SECUNDARIA,DELEGACIÓN CUAUHTÉMOC,DF,NA,NINGUNA,NINGUNO,FDS,PA
2061,BALDERAS,B-036,DEL 12 AL 16 DE MAYO DE 2014,IZTACALCO,8,15 DE MAYO DE 2014,JUEVES,MAYO,08:38,09:14,20:32,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,26,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,41,EMPLEADO,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PA
2062,BALDERAS,B-037,DEL 12 AL 16 DE MAYO DE 2014,CENTRO MÉDICO,9,15 DE MAYO DE 2014,JUEVES,MAYO,12:00,17:00,04:40,TOCAMIENTO EN INGLE Y ÁREA PÚBICA,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,22,DEMOEDECAN,EMPLEADA,PREPARATORIA,MUNICIPIO DE CHIMALHUACAN,ESTADO DE MÉXICO,HOMBRE,29,SIN DATO,SIN DATO,SIN DATO,MUNICIPIO DE NEZAHUALCOYOTL,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2063,BALDERAS,B-038,DEL 12 AL 16 DE MAYO DE 2014,BALDERAS,3,16 DE MAYO DE 2014,VIERNES,MAYO,14:52,15:10,00:07,TOCAMIENTO EN ÁREA PÚBICA,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,26,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,26,MESERO,EMPLEADO,PREPARATORIA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,NA,NINGUNA ,NINGUNO,FDS,PBI
2064,BALDERAS,B-039,DEL 19 AL 23 DE MAYO DE 2014,ROMERO RUBIO,B,19 DE MAYO DE 2014,LUNES,MAYO,13:00,13:05,19:30,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,29,COMERCIANTE,COMERCIANTE,PREPARATORIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,23,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2065,HIDALGO,H-034,DEL 19 AL 23 DE MAYO DE 2014,ZÓCALO,2,19 DE MAYO DE 2014,LUNES,MAYO,15:30,16:08,16:25,TOCAMIENTO EN ÁREA PÚBICA,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,25,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PREPARATORIA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,HOMBRE,52,SIN DATO,SIN DATO,SIN DATO,DELEGACIÓN CUAUHTÉMOC,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO ,DC,PBI
2066,HIDALGO,H-035,DEL 19 AL 23 DE MAYO DE 2014,ZÓCALO,2,19 DE MAYO DE 2014,LUNES,MAYO,15:30,16:08,16:25,TOCAMIENTO EN GLÚTEOS,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,49,SERVIDORA PÚBLICA,SERVIDORA PÚBLICA,CARRERA TÉCNICA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,52,SIN DATO,SIN DATO,SIN DATO,DELEGACIÓN CUAUHTÉMOC,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2067,HIDALGO,H-036,DEL 19 AL 23 DE MAYO DE 2014,COPILCO,3,19 DE MAYO DE 2014,LUNES,MAYO,15:00,19:49,01:10,TOCAMIENTO EN SENOS Y GLÚTEOS,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,OFINAS DEL JEFE DE ESTACIÓN DE LA LÍNEA 3,MUJER,19,EMPLEADA DE LIMPIEZA,EMPLEADA,SECUNDARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,51,JEFE DE ESTACIÓN DEL STC,SERVIDOR PÚBLICO,SIN DATO,DELEGACIÓN COYOACÁN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2068,HIDALGO,H-037,DEL 19 AL 23 DE MAYO DE 2014,LAGUNILLA,B,21 DE MAYO DE 2014,MIÉRCOLES,MAYO,07:35,09:00,18:40,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,34,EMPLEADA,EMPLEADA,PROFESIONAL INCOMPLETA,MUNICIPIO DE CIUDAD AZTECA,ESTADO DE MÉXICO,HOMBRE,22,EMPLEADO,EMPLEADO,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,EL LIC. SALVADOR MÉNDEZ GARCÍA OFICIAL SECRETAIO DEL MP DIJO A LA VICTIMA QUE EL INMUJERES ERA UNA ASOCIACIÓN PRIVADA QUE NO DEBERIA INTERVENIR EN EL ASUNTO,NINGUNO,FDS,PA
2069,BALDERAS,B-040,DEL 19 AL 23 DE MAYO DE 2014,BALDERAS,3,21 DE MAYO DE 2014,MIÉRCOLES,MAYO,09:00,09:04,14:55,FRICCIÓN DE PENE Y MASTURBACIÓN,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,PRIMER VAGÓN,MUJER,26,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN TLAHUAC,DF,HOMBRE,38,EMPLEADO DE LIMPIEZA,EMPLEADO,SIN INSTRUCCIÓN,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,NINGUNA,NINGUNO,FDS,PA
2070,BALDERAS,B-041,DEL 19 AL 23 DE MAYO DE 2014,ISABEL LA CATÓLICA,1,21 DE MAYO DE 2014,MIÉRCOLES,MAYO,09:17,09:34,17:00,TOCAMIENTO EN ÁREA PÚBICA,NEGANDO LOS HECHOS ,ABUSO SEXUAL,TERCER VAGÓN,MUJER,33,SERVIDORA PÚBLICA,SERVIDORA PÚBLICA,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,31,COMERCIANTE,COMERCIANTE,PREPARATORIA INCOMPLETA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2071,HIDALGO,H-038,DEL 19 AL 23 DE MAYO DE 2014,HIDALGO,2,21 DE MAYO DE 2014,MIÉRCOLES,MAYO,14:43,15:03,23:35,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,39,PROFESIONISTA POR SU CUENTA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,31,LIMPIA PARABRISAS,OFICIO,SECUNDARIA,MUNICIPIO DE ACOLMAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2072,HIDALGO,H-039,DEL 19 AL 23 DE MAYO DE 2014,TACUBA,2,22 DE MAYO DE 2014,JUEVES,MAYO,15:10,15:28,21:00,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,TAQUILLA DE LA ESTACIÓN,MUJER,34,EMPLEADA DE LIMPIEZA,EMPLEADA,SECUNDARIA INCOMPLETA,DELEGACIÓN TLAHUAC,DF,HOMBRE,52,COMERCIANTE,COMERCIANTE,PRIMARIA,DELEGACIÓN CUAUHTÉMOC,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2073,HIDALGO,H-040,DEL 19 AL 23 DE MAYO DE 2014,BELLAS ARTES,2,23 DE MAYO DE 2014,VIERNES,MAYO,18:30,18:45,00:10,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,32,SIN DATO,SIN DATO,SIN DATO,ESTADO DE VERACRUZ,VERACRUZ,NA,NINGUNA ,NINGUNO,FDS,PBI
2074,PANTITLÁN,P-020,DEL 19 AL 23 DE MAYO DE 2014,TACUBAYA,9,23 DE MAYO DE 2014,VIERNES,MAYO,13:40,14:30,15:15,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS ELÉCTRICAS,MUJER,19,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN COYOACÁN,DF,HOMBRE,21,OBRERO ,OFICIO,SECUNDARIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2075,BALDERAS,B-042,DEL 26 AL 30 DE MAYO DE 2014,TACUBAYA,1,26 DE MAYO DE 2014,LUNES,MAYO,07:55,08:41,14:27,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,27,DISEÑADORA GRAFICA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN AZCAPOTZALCO,DF,HOMBRE,28,EMPLEADO,EMPLEADO,BACHILLERATO,DELEGACIÓN MIGUEL HIDALGO,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2076,BALDERAS,B-043,DEL 26 AL 30 DE MAYO DE 2014,LA RAZA,3,26 DE MAYO DE 2014,LUNES,MAYO,12:05,13:15,21:17,TOCAMIENTO EN SENO Y ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,46,MAQUILLISTA,OFICIO,SECUNDARIA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,HOMBRE,17,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,NA,NINGUNA ,NINGUNO,FDS,PBI
2077,HIDALGO,H-041,DEL 26 AL 30 DE MAYO DE 2014,HIDALGO,2,26 DE MAYO DE 2014,LUNES,MAYO,16:05,16:14,17:10,TOCAMIENTO EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,23,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNCIPIO DE CUAUTITLAN ,ESTADO DE MÉXICO,HOMBRE,16,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,MUNICIPIO DE TECAMACHALCO,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2078,HIDALGO,H-042,DEL 26 AL 30 DE MAYO DE 2014,INDIOS VERDES,3,27 DE MAYO DE 2014,MARTES,MAYO,09:30,10:25,10:53,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ANDEN,MUJER,29,EMPLEADA DOMÉSTICA,EMPLEADA ,PRIMARIA INCOMPLETA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE ,33,DESEMPLEADO,DESEMPLEADO,SIN DATO,SIN DATO,SIN DATO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2079,PINO SUÁREZ,PS-029,DEL 26 AL 30 DE MAYO DE 2014,ZARAGOZA,1,28 DE MAYO DE 2014,MIÉRCOLES,MAYO,09:40,10:38,15:55,MASTURBACIÓN,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,INTERIOR DE VAGÓN,MUJER,19,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,47,DESEMPLEADO,DESEMPLEADO,SIN DATO,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2080,BALDERAS,B-044,DEL 26 AL 30 DE MAYO DE 2014,CHAPULTEPEC,1,28 DE MAYO DE 2014,MIÉRCOLES,MAYO,18:50,19:58,01:33,FRICCIÓN DE PENE Y TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,32,OBRERO ,EMPLEADO,SECUNDARIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,NA,NINGUNA ,NINGUNO,FDS,PBI
2081,HIDALGO,H-043,DEL 26 AL 30 DE MAYO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO ANTERIOR DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO ANTERIOR DE LA VÍCTIMA),29 DE MAYO DE 2014,JUEVES,MAYO,HACE 20 AÑOS APROXIMADAMENTE A LAS 19:00,15:36,21:23,VIOLACIÓN,PERSISTENTE Y VIOLENTA,VIOLACIÓN,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO ANTERIOR DE LA VÍCTIMA),MUJER,36,EMPLEADA ,EMPLEADA,PROFESIONAL,DELEGACIÓN TLALPAN,DF,HOMBRE,60,COMERCIANTE,COMERCIANTE,PRIMARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,OTRA INSTANCIA (CTA),PBI
2082,BALDERAS,B-045,DEL 26 AL 30 DE MAYO DE 2014,CHABACANO,9,30 DE MAYO DE 2014,VIERNES,MAYO,08:00,08:58,16:15,MASTURBACIÓN Y EYACULACIÓN ,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,44,EMPLEADA,EMPLEADA,SECUNDARIA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,HOMBRE,36,EMPLEADO,EMPLEADO,PRIMARIA,MUNICIPIO DE LA PAZ,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2083,HIDALGO,H-044,DEL 26 AL 30 DE MAYO DE 2014,HIDALGO,3,30 DE MAYO DE 2014,VIERNES,MAYO,19:07,19:45,03:45,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,OCTAVO VAGÓN,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,34,REPARADOR DE ELEVADOR,EMPLEADO,SECUNDARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2084,PINO SUÁREZ,PS-030,DEL 02 AL 06 DE JUNIO DE 2014,PINO SUÁREZ,2,04 DE JUNIO DE 2014,MIÉRCOLES,JUNIO,15:05,17:38,19:54,VEJACIONES (AGRESIÓN VERBAL),RÁPIDA Y VIOLENTA,VEJACIONES,PASILLO  DE CORRESPONDENCIA ,MUJER,20,DESEMPLEADA,DESEMPLEADA,PREPARATORIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,24,COMERCIANTE,COMERCIANTE,SIN DATO,NMUNICIPIO DE NAUCALPAN,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVA SU DERECHO A DENUNCIAR EN EL JUZGADO CIVICO,NINGUNO,DC,PBI
2085,HIDALGO,H-045,DEL 02 AL 06 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),04 DE JUNIO DE 2014,MIÉRCOLES,JUNIO,8:00 DEL 02 DE JUNIO DE 2014,16:04,10:32,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,22,EMPLEADA,EMPLEADA,PROFESIONAL INCOMPLETA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,25,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN CUAUHTÉMOC,DF,NA,NINGUNA,NINGUNO,FDS,SIN DETENIDO
2086,BALDERAS,B-046,DEL 02 AL 06 DE JUNIO DE 2014,ZÓCALO,2,05 DE JUNIO DE 2014,JUEVES,JUNIO,19:00,19:45,23:28,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,ANDEN,MUJER,50,EMPLEADA,EMPLEADA,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,53,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA AGENCIA 50 DEL MP,NINGUNO,DC,PBI
8,HIDALGO,H-046,DEL 02 AL 06 DE JUNIO DE 2014,COLEGIO MILITAR,2,06 DE JUNIO DE 2014,VIERNES,JUNIO,09:20,09:41,10:25,TOMA DE VIDEO,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,SEGUNDO VAGÓN ,MUJER,24,EMPLEADA,EMPLEADA,EMPLEADA,DELEGACIÓN COYOACÁN,DF,HOMBRE,44,EMPLEADO,EMPLEADO,PROFESIONAL,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MÓDULO,NINGUNO,DC,PBI
2088,PANTITLÁN,P-021,DEL 02 AL 06 DE JUNIO DE 2014,PANTITLÁN,9,06 DE JUNIO DE 2014,VIERNES,JUNIO,07:05,10:40,15:30,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,20,EMPLEADA,EMPLEADA,PREPARATORIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,HOMBRE,35,OBRERO ,OFICIO,PRIMARIA,MUNICIPIO DE VALLE DE CHALCO,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2089,PANTITLÁN,P-022,DEL 02 AL 06 DE JUNIO DE 2014,PANTITLÁN,9,06 DE JUNIO DE 2014,VIERNES,JUNIO,16:00,16:45,18:10,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS,MUJER,47,COMERCIANTE,COMERCIANTE,PREPARATORIA,MUNICIPIO DE CHIMALHUACAN,ESTADO DE MÉXICO,HOMBRE,24,COMERCIANTE,COMERCIANTE,SECUNDARIA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MÓDULO,NINGUNO,DC,PA
2090,HIDALGO,H-047,DEL 02 AL 06 DE JUNIO DE 2014,VILLA DE CORTES,2,06 DE JUNIO DE 2014,VIERNES,JUNIO,17:00,17:45,02:15,FRICCIÓN DE PENE EN GLÚTEOS,   PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,PRIMER VAGÓN,MUJER,43,TRABAJADORA DOMESTICA,EMPLEADA,PREPARATORIA,DELEGACIÓN COYOACÁN,DF,HOMBRE,57,EMPLEADO,EMPLEADO,BACHILLERATO,DELEGACIÓN TLALPAN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2091,HIDALGO,H-048,DEL 02 AL 06 DE JUNIO DE 2014,VILLA DE CORTES,2,06 DE JUNIO DE 2014,VIERNES,JUNIO,17:00,17:45,02:15,FRICCIÓN DE PENE EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,PRIMER VAGÓN,MUJER,47,EMPLEADA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN COYOACÁN,DF,HOMBRE,57,EMPLEADO,EMPLEADO,BACHILLERATO,DELEGACIÓN TLALPAN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2092,PANTITLÁN,P-023,DEL 09 AL 13 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),09 DE JUNIO DE 2014,LUNES,JUNIO,21:00 DEL 08 DE JUNIO DE 2014,09:05,15:50,VIOLENCIA FAMILIAR (VERBAL),RÁPIDA Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,27,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PROFESIONAL,DELEGACIÓN ÁLVARO OBREGÓN,DF,HOMBRE,27,EMPLEADO,EMPLEADO,CARRERA TÉCNICA,DELEGACIÓN ÁLVARO OBREGÓN,DF,SIN DETENIDO,NINGUNA,NINGUNO,FDS,SIN DETENIDO
2093,HIDALGO,H-049,DEL 09 AL 13 DE JUNIO DE 2014,COLEGIO MILITAR,2,09 DE JUNIO DE 2014,LUNES,JUNIO,13:30,17:00,19:55,PERSECUCIÓN CON POSIBLES FINES LASCIVOS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,PRIMER VAGÓN,MUJER,45,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,38,EMPLEADO,EMPLEADO,PREPARATORIA,DELEGACIÓN MIGUEL HIDALGO,DF,NA,NINGUNO,NINGUNO,FDS,PBI
2094,HIDALGO,H-050,DEL 09 AL 13 DE JUNIO DE 2014,ZÓCALO,2,10 DE JUNIO DE 2014,MARTES,JUNIO,07:30,08:40,10:10,FAVORES SEXUALES,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,ESCALERAS FIJAS,MUJER,32,EMPLEADA,EMPLEADA,PRIMARIA,DELEGACIÓN MIGUEL HIDALGO,ESTADO DE MÉXICO,HOMBRE,73,COMERCIANTE,COMERCIANTE,SIN INSTRUCCIÓN,MUNICIPIO DE TLANEPANTLA,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MÓDULO,NINGUNO,DC,PBI
2095,HIDALGO,H-051,DEL 09 AL 13 DE JUNIO DE 2014,ZAPATA,3,10 DE JUNIO DE 2014,MARTES,JUNIO,08:58,10:05,15:45,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,44,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,37,SERVIDOR PÚBLICO,SERVIDOR PÚBLICO,PREPARATORIA,DELEGACIÓN COYOACÁN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2096,PINO SUÁREZ,PS-031,DEL 09 AL 13 DE JUNIO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),10 DE JUNIO DE 2014,MARTES,JUNIO,18:00 DEL 05 DE JUNIO DE 2014,17:39,22:17,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,25,TAREAS DEL HOGAR,TAREAS DEL HOGAR,BACHILLERATO INCOMPLETO,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,36,RECOLECTOR DE BASURA,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2097,PINO SUÁREZ,PS-032,DEL 09 AL 13 DE JUNIO DE 2014,SALTO DEL AGUA,1,11 DE JUNIO DE 204,MIÉRCOLES,JUNIO,09:28,10:00,18:25,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,SEXTO VAGÓN,MUJER,27,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,HOMBRE,29,TÉCNICO EN ELECTRÓNICA,EMPLEADO,SIN DATO,DELEGACIÓN TLALPAN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2098,BALDERAS,B-047,DEL 09 AL 13 DE JUNIO DE 2014,SALTO DEL AGUA,1,12 DE JUNIO DE 2014,JUEVES,JUNIO,08:27,08:55,18:00,FROTAMIENTO DE PENE EN GLÚTEO ,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,SÉPTIMO VAGÓN,MUJER,22,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,33,EMPLEADO,EMPLEADO,PROFESIONAL,MUNICIPIO DE CUAUTITLAN  IZCALLI,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
